key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2233259
monotonic_ns	package_uj	core_uj	sample_cost_ns
503531776833995	64146664090	8116479825	85728
503531826871092	64147256223	8116499264	134353
503531876950452	64147858273	8116578315	98731
503531926935670	64148480220	8116716995	155499
503531978184954	64149120705	8116859734	152524
503532026885089	64149789814	8117002412	113947
503532076841005	64150373158	8117178702	85157
503532126874376	64150702883	8117192938	136206
503532176866746	64150950993	8117200094	126319
503532226869975	64151194862	8117205145	131016
503532276838824	64151426570	8117209936	99783
503532327117098	64151842961	8117272738	93612
503532376828212	64152456485	8117467826	79658
503532426844993	64152705923	8117472694	118455
503532476835740	64153129653	8117565447	86359
503532527131485	64153611531	8117683147	99051
503532576833253	64154094477	8117887025	84356
503532626850485	64154550432	8117904678	106094
503532676876031	64155007760	8118097738	158865
503532726882986	64155397419	8118164095	140974
503532776879021	64155755478	8118177110	132499
503532826839344	64155986942	8118181199	100183
503532876835028	64156219993	8118185395	96647
503532926832777	64156458658	8118190476	96427
503532976889577	64156689665	8118194000	132880
503533026882487	64156901430	8118196030	136826
503533076834847	64157145146	8118202789	84406
503533126930104	64157363641	8118205505	165947
503533177381257	64157541198	8118208022	226162
503533226880443	64157743489	8118211837	132239
503533276881477	64157929057	8118215362	136235
503533327436629	64158133758	8118218047	219380
503533377390121	64158349292	8118223128	215613
503533426884098	64158550988	8118227141	135625
503533476879021	64158746061	8118231047	137357
503533526933999	64158967608	8118235380	167941
503533576984126	64159162757	8118240339	247489
footer_sample_count	621
footer_unreadable_count	0
footer_achieved_period_ns	50000406
footer_first_monotonic_ns	503502576732386
footer_last_monotonic_ns	503533576984126
