key	value
schema	package-energy-sample-v1
clock	CLOCK_MONOTONIC
period_ns	50000000
package_wrap_uj	65532610988
core_wrap_uj	65532610988
sampler_pid	2209718
monotonic_ns	package_uj	core_uj	sample_cost_ns
503327989027103	62393821755	7932451119	197566
503328038953771	62394783955	7932572038	92846
503328089025714	62395832256	7932776999	191079
503328139704194	62396594896	7932789434	851235
503328189049935	62397275266	7932811467	216838
503328239054021	62397941079	7932821125	221954
503328288967083	62398661424	7932846789	123481
503328364892180	62399541033	7933054649	29907160
503328389545378	62400692722	7933129856	2182862
503328438954192	62401489861	7933146731	88682
503328488957427	62402188983	7933176393	88531
503328538958570	62402855940	7933188141	95890
503328590238748	62403556893	7933205215	186896
503328639024942	62404411493	7933285609	195716
503328689137419	62405396855	7933449312	231608
503328739068326	62406163692	7933478776	243060
503328788994397	62406838858	7933484528	180188
503328838985153	62407538010	7933515166	133835
503328888989265	62408210720	7933523741	172009
503328938964503	62409094250	7933609430	107825
503328988974411	62410097875	7933761461	125375
503329039250407	62410832075	7933783737	146900
503329089052485	62411517205	7933802154	225370
503329138986795	62412185521	7933810011	193583
503329189024656	62412949519	7933857189	197798
503329239067192	62414027299	7934067628	210753
503329288965231	62415037821	7934205041	107454
503329338971625	62415747943	7934214883	127057
503329388958667	62416443800	7934237724	95811
503329439043712	62417259004	7934251380	194705
503329489148580	62418030616	7934271902	168245
503329539015553	62418926581	7934363053	184123
503329589031694	62419822317	7934475123	204358
503329639045024	62420567442	7934502023	217493
503329688994740	62421223338	7934507760	182282
503329738962778	62421931248	7934535331	105974
503329789015924	62422649121	7934560491	188900
503329838966692	62423644202	7934690322	107605
503329889025755	62424509621	7934781305	199332
503329939788849	62425392769	7934827964	935379
503329988972372	62426097780	7934840399	120941
503330039432363	62426761213	7934849463	584641
503330089014821	62427591691	7934934297	186237
503330138978464	62428715305	7935155218	170538
503330189035975	62429616596	7935249116	213259
503330239047403	62430312330	7935263611	219005
503330289036435	62431009437	7935292570	210716
503330338990687	62431682040	7935301481	184645
503330388982672	62432554874	7935386041	143437
503330449080231	62433652901	7935653407	10112783
503330490025797	62434737928	7935699074	1416840
503330538954293	62435473180	7935721900	89194
503330588970946	62436128847	7935731406	137291
503330639018737	62436830425	7935760701	175305
503330688978135	62437672469	7935837144	161470
503330738995631	62438821304	7936054601	163972
503330789043453	62439611181	7936100253	213450
503330838970012	62440339033	7936131928	119550
503330888977936	62441005289	7936140473	167337
